1label,1real,1a,1b,1c,1d,2label,2real,2a,2b,2c,2d,3label,3real,3a,3b,3c,3d,4label,4real,4a,4b,4c,4d,5label,5real,5a,5b,5c,5d
pianist,1,John Lennon,Sergey Kuznetsov,Alla Pugacheva,Taylor Swift,multiplayer video game,0,Avatar,Aylın Öztürk,Grand Theft Auto V,Los York,architect,1,Michelangelo,Vitaly Kaloyev,"Prince Richard, Duke of Gloucester",Yahya Abdul-Mateen II,U.S. state,1,Washington,Hawaii,Georgia,Colorado,U.S. state,1,Georgia,Kentucky,Washington,Texas
Indians,1,First Nations,Vyasa,Anglo-Indian people,Punjabi,action film,1,The Marvels,Bullet Train,Jurassic World Dominion,Eternals,children's film,1,Harry Potter and the Goblet of Fire,The NeverEnding Story,Pinocchio,Dr. Seuss' How the Grinch Stole Christmas,drummer,0,Panda Virusovskaya,Roger Waters,Elena Numericalova,Football Limited,actor,1,Valery Todorovsky,Priscilla Presley,Maurizio D'Ancora,Donald Trump
mountain,1,Seven Summits,Nanga Parbat,Mount Elbrus,stratovolcano,action game,0,Hearts on Fire,True Detective,Bayonetta,Andrey Coderov,athlete,1,Jet Li,Katerina Tikhonova,Tyson Fury,Ronda Rousey,3D film,1,Justice League,Minions: The Rise of Gru,Pirates of the Caribbean: Dead Men Tell No Tales,Aquaman,single player video game,1,Call of Duty: Modern Warfare II,God of War,Poppy Playtime,Need for Speed: Hot Pursuit
sport film,1,Chariots of Fire,Hustle,Rush,The Cannonball Run,science fiction television program,1,Lost,Twin Peaks,Marvel Cinematic Universe,Star Trek: Picard,mystery film,0,Titanic,Simulation of Sporting Achievements,Melodic Worldviews,Blade Runner 2049,women's rights activist,1,Gloria Steinem,Friedrich Engels,Maria Shriver,Sophia Perovskaya,Indians,1,Indigenous peoples of the Americas,Australia,Punjabi,First Nations
sculpture,1,Sheela na gig,Fallen Astronaut,Venus of Galgenberg,Capitoline Wolf,animal,0,Star Trek: Prodigy,semen,Maxim Ecologists,Chronicles of Darkness,mathematician,1,mathematics,Lee Hsien Loong,Werner Heisenberg,Arkady Volozh,3D film,1,Jurassic World,Spider-Man: Homecoming,Aquaman,Pirates of the Caribbean: On Stranger Tides,actor,1,Stellan Skarsgård,Talulah Riley,Ralph Fiennes,Vanessa Paradis
Turks,0,Dmitry Modelmaker,Das Boot,Fundamentals of Political Analysis,Bahaeddin Şakir,children's film,1,Minions,Harry Potter and the Order of the Phoenix,Pinocchio,Harry Potter and the Prisoner of Azkaban,animal,1,dinosaur,invertebrate,Metazoa,semen,painter,1,Wilhelm II,Andrey Myagkov,John Lennon,Paul McCartney,Italians,1,Francis of Assisi,Mario,Australia,Italian cuisine
science fiction television program,1,Obi-Wan Kenobi,Ahsoka,Star Trek: Discovery,Star Trek: Strange New Worlds,Internet meme,1,Rickrolling,alt-right,@world_record_egg,Morbius,strategy video game,0,John D. Rockefeller,Jokes on Level,Mystery of Hopelessness,Tamagotchi,single player video game,1,Grand Theft Auto V,Assassin's Creed Valhalla,Call of Duty: Black Ops Cold War,God of War,single player video game,1,God of War,Need for Speed: Hot Pursuit,Grand Theft Auto V,Resident Evil
guitarist,1,Yegor Letov,Pavel Maykov,Tom Kaulitz,John Lennon,computer scientist,0,Funny Neighbors,Arkady Volozh,Four Past Midnight,Elena Architecturova,drummer,1,Dave Grohl,Christoph Schneider,Valeria Kozlova,Tommy Lee,television film,1,Home Alone: The Holiday Heist,Titanic,Conspiracy,South Park: Post Covid,African Americans,1,United States of America,Serena Williams,Confederate States,Will Smith
anime film,1,Ghost in the Shell,Belle,Howl's Moving Castle,Neon Genesis Evangelion: Death & Rebirth,museum of modern art,1,Pinacoteca di Brera,Miramare Castle,Pitti Palace,Giardino dei Tarocchi,city in the United States,0,Igor Coders,Thomas Gainsborough,Cambridge,Path to Change,multiplayer video game,1,Uncharted 4: A Thief's End,Call of Duty: Black Ops Cold War,Call of Duty: Modern Warfare 3,Tomb Raider,multiplayer video game,1,Minecraft,Uncharted 4: A Thief's End,God of War,S.T.A.L.K.E.R.: Shadow of Chernobyl
architect,1,Andrey Makarevich,Olena Zelenska,Rudolf Steiner,Michelangelo,Indians,0,Texas,Hindi,Polar Adventures,The Addams Family,horror film,1,Unbreakable,Halloween Kills,Guillermo del Toro,Prometheus,romance film,1,The Danish Girl,"The Karate Kid, Part III",After We Fell,Disenchanted,athlete,1,Dave Bautista,Barry Bonds,Raymond van Barneveld,Jet Li
bass guitarist,1,Paul Landers,Sergey Shnurov,Thomas Brodie-Sangster,Flea,bass guitarist,1,Natalia Chumakova,Jermaine Jackson,Pavel Artemyev,Roger Taylor,war film,0,Das Boot,Casino Royale,Roses and Romance,Chronicles of Horror,mathematician,1,Albrecht Dürer,Grigori Perelman,Boris Berezovsky,Carl Friedrich Gauss,romance film,1,After Ever Happy,Titanic,Disenchanted,Brokeback Mountain
BBC 100 Women,1,Selma Blair,Rita Moreno,Bella Thorne,Ursula von der Leyen,city in the United States,1,Houston,Anchorage,Juneau,Miami,mountain,1,Panthera uncia,Tambora,Montana,Monte Carlo,Germans,0,Minions: The Rise of Gru,Mask of Mystery,Journey into Animation,Poland,Internet meme,1,Rickrolling,Pepe the Frog,ahegao,lean
sculpture,0,Elena Percussionist,Bacchus,David Stringer,Operation Paperclip,martial arts film,1,The Karate Kid,Jack Reacher,Shang-Chi and the Legend of the Ten Rings,"The Karate Kid, Part III",anime film,1,The End of Evangelion,Evangelion: 3.0+1.0 Thrice Upon a Time,Belle,Spirited Away,plant,1,useful plant,elephant,bryophyte,forage,martial arts film,1,The Karate Kid Part II,Kill Bill Volume 1,Jackie Chan,The Karate Kid
mathematician,0,Keys to Power,Alan Turing,Carl Friedrich Gauss,Tiger Force,crime television series,1,Law & Order: Special Victims Unit,Chikatilo,Fargo,NCIS,adventure film,1,The Marvels,Jurassic World Dominion,Harry Potter and the Philosopher's Stone,Eternals,guitarist,1,River Phoenix,Yegor Letov,Paul McCartney,Tom Kaulitz,adventure film,1,The King's Man,Harry Potter and the Philosopher's Stone,Eternals,Johnny Depp
rapper,0,Los Chicagos,Keys to Power,Brother 2,John Cena,computer scientist,1,Daniel Ek,Peter Thiel,Pavel Valeryevich Durov,Sergey Brin,animal,1,invertebrate,Metazoa,Bilateria,Eumetazoa,Russians,1,Russia,Milla Jovovich,Vasily Chuikov,Vladimir Putin,anime film,1,The Wind Rises,The Boy and the Heron,Demon Slayer: Kimetsu no Yaiba the Movie: Mugen Train,anime
philosopher,1,Richard Harris,Johann Wolfgang von Goethe,Fyodor Dostoyevsky,Benedict XVI,action film,1,The King's Man,Avengers: Endgame,Thor: Love and Thunder,Top Gun: Maverick,jazz musician,1,Bhumibol Adulyadej,Phil Collins,Michelle Dockery,Quincy Jones,actor,0,Maria Stringistova,Brian May,Mikhail Dunkerov,Valery Todorovsky,science fiction television program,1,Star Trek: Discovery,The Mandalorian,Stranger Things,Ahsoka
guitarist,1,Viktor Tsoi,Paul Bettany,Jesse Plemons,Richard Kruspe,English people,1,Isaac Newton,William Blake,Australia,Anya Taylor-Joy,painter,1,Alexandra Feodorovna (Alix of Hesse),Johann Wolfgang von Goethe,Jared Leto,Wilhelm II,horror film,1,Halloween Kills,Doctor Strange in the Multiverse of Madness,Morbius,Split,mathematician,0,Hidden Intrigues,Mikhail Vassilyevich Lomonosov,Fantastic Beasts and Where to Find Them,Elena Philosopherova
Christmas film,1,Home Alone,Die Hard 2,Dr. Seuss' How the Grinch Stole Christmas,Home Alone 4,Russians,1,Wassily Kandinsky,Lev Yashin,Rusyns,Denis Pushilin,drama television series,1,Silver Spoon,Stranger Things,The Walking Dead,House of the Dragon,historical film,1,Valkyrie,Midway,The Northman,Champion of the World,African Americans,0,Ivan Champions,Mark Johnson,Johnny Depp,Jada Pinkett Smith
pianist,0,First Nations,Jon Bon Jovi,Smirnov,"Smile, It's Life",athlete,1,Wladimir Klitschko,Jet Li,Joey Kelly,Gustav Schwarzenegger,Turks,1,Karamanlides,The Turk,Asian people,Kemal Kılıçdaroğlu,science fiction television program,1,Star Trek: Picard,Star Trek: Strange New Worlds,The Book of Boba Fett,Marvel Cinematic Universe,actor,1,Volodymyr Zelenskyy,Zendaya,Donald Trump,Winona Ryder
Christmas film,1,Silver Linings Playbook,Love Actually,Shazam!,Home Alone 4,music video game,0,Pirates of the Caribbean: On Stranger Tides,Alexey Artists,Path to Change,Just Dance 2020,action film,1,Spider-Man: Far from Home,Doctor Strange in the Multiverse of Madness,The Marvels,Marvel Cinematic Universe,strategy video game,1,World of Tanks Blitz,4X,Honkai: Star Rail,Clash Royale,Turks,1,Mesut Özil,Turkish,Bahaeddin Şakir,Bibras Natcho
sportsperson,1,coach,Enzo Fernández,Alex Shibutani,Vincent Jay,Russians,1,Wassily Kandinsky,Rus' people,Andrei Sakharov,Vladimir Putin,single player video game,0,Priyanka Reddy,Uncharted: Drake's Fortune,Ivan Chordov,Call of Duty: Modern Warfare,Turks,1,Mesut Özil,Karamanlides,Turkish,Turkish diaspora,museum of modern art,1,Palace of Caserta,Museum of Modern Art,Pitti Palace,National Museum of Capodimonte
plant,1,Amaranthaceae,perennial plant,useful plant,elephant,children's film,0,Andrey Coderov,Maxim Ecologists,Charlie and the Chocolate Factory,Milla Jovovich,plant,1,Tracheophyta,seed plants,fungus,Pimpinella anisum,crime television series,1,Fargo,Dahmer – Monster: The Jeffrey Dahmer Story,Chikatilo,Law & Order,Indians,1,Myanmar,Indigenous peoples of the Americas,Vyasa,king asleep in mountain
horror film,0,Sofia Emancipator,Tennis Mastery,Glass,The Batman,museum of modern art,1,Miramare Castle,Peggy Guggenheim Collection,MAXXI – National Museum of the 21st Century Arts,Gallerie dell'Accademia,biologist,1,Carl Linnaeus,Richard Dawkins,Gottfried Wilhelm Leibniz,Shyamala Gopalan,Christmas film,1,On Her Majesty's Secret Service,Batman Returns,Dr. Seuss' How the Grinch Stole Christmas,Die Hard 2,bass guitarist,1,Brian Wilson,Bella Thorne,Gleb Samoylov,Paul McCartney
comedy television series,0,Li Huan,Maxim Beatmaker,Richard Kruspe,Wednesday,programmer,1,Ada Lovelace,Eugen Rochko,Markus Persson,Elon Musk,sport film,1,Winning Time: The Rise of the Lakers Dynasty,King Richard,The Queen's Gambit,Chariots of Fire,pianist,1,Jared Leto,Jamie Foxx,Lenny Kravitz,Richard Wagner,war film,1,War for the Planet of the Apes,Dunkirk,Gone with the Wind,Wonder Woman 1984
horror literature,1,Four Past Midnight,R. L. Stine,New Watch,Wolfgang Hohlbein,athlete,1,Vladimir Turchinsky,Wladimir Klitschko,Brandon Curry,Toni Schumacher,animal,1,invertebrate,Rotaviral gastroenteritis,Francis of Assisi,carnivore,scientist,0,William Blake,Tuscany: Land of Passion,Funny Adventures,Thirteenth Doctor,science fiction television program,1,Lost,Ahsoka,Star Trek: Picard,The Book of Boba Fett
science fiction television program,1,Doctor Who,Star Trek: The Next Generation,Marvel Cinematic Universe,Ahsoka,drama television series,1,WandaVision,The Walking Dead,The Witcher,Brigada,Russians,1,Milla Jovovich,Denis Pushilin,Rusyns,East Slavs,rapper,0,Takeoff,Ivan Brown,Mark Johnson,Pennsylvania,mountain,1,Puncak Jaya,Aconcagua,Mona Lisa,Denali
comedy television series,1,Jackass,Shameless,sitcom,Ms. Marvel,television film,1,Home Alone: The Holiday Heist,Conspiracy,South Park: Post Covid,Die Wannseekonferenz,Russians,1,East Slavs,Vasily Chuikov,Andrei Sakharov,Rusyns,animated film,0,Joan Clarke,David Stringer,Curse of the Abyss,The Grinch,war film,1,Downfall,Expend4bles,Union of Salvation,Wonder Woman
rapper,1,Oxxxymiron,Tupac Shakur,The Notorious B.I.G.,Jaden Smith,Turks,1,Mesut Özil,Turks in Germany,2016 Turkish coup d'état attempt,The Turk,3D film,0,Rogue One,Dmitry Formulary,Glory Johnson,Dark Secrets,Turks,1,Turks in Germany,Asian people,2016 Turkish coup d'état attempt,Turkish diaspora,horror film,1,Split,Unbreakable,Glass,Alien: Covenant
stand up comedian,1,John Mulaney,Jemaine Clement,Maxim Galkin,Robin Williams,philosopher,1,Benedict XVI,Karl Marx,philosophy,Fyodor Dostoyevsky,pianist,1,Jon Bon Jovi,David Bowie,Jamie Foxx,Taylor Swift,jazz musician,0,Citizenship in the United States,Quincy Jones,Journey into Animation,Electro Chaos,television film,1,Sherlock Holmes and Dr. Watson,Home Alone 4,Die Wannseekonferenz,For Your Love Only
adventure film,1,Doctor Strange in the Multiverse of Madness,The Marvels,Fantastic Beasts: The Crimes of Grindelwald,Avengers: Endgame,drama television series,0,House of the Dragon,Secret Garden Magic,Tennis Mastery,The Book of Boba Fett,mountain,1,Seven Summits,Aconcagua,Tambora,Puncak Jaya,animal,1,Rotaviral gastroenteritis,semen,carnivore,Eumetazoa,adventure film,1,Thor: Love and Thunder,Fantastic Beasts: The Crimes of Grindelwald,Fantastic Beasts: The Secrets of Dumbledore,The Marvels
sportsperson,1,motorsport marshal,Summer McIntosh,Roger Lodge,sports commentator,philosopher,1,Leo Tolstoy,Karl Marx,Mao Zedong,Raisa Gorbacheva,Chinese people,1,Chinese Americans,foot binding,Australia,Han Chinese people,English people,0,Ivan Standup,ahegao,Australia,Island of Animal Kingdom,sports video game,1,Tony Hawk's Pro Skater 2,Mario,NBA 2K,Pong
plant,0,Keys to Power,Network Adventure,Dufourspitze,seed plants,BBC 100 Women,1,Hilary Swank,Ursula von der Leyen,Sanna Marin,Billie Eilish,adventure film,1,Fantastic Beasts: The Crimes of Grindelwald,Spider-Man: No Way Home,Avatar: The Way of Water,Jurassic World Dominion,3D film,1,Blade Runner 2049,Star Wars Episode VII: The Force Awakens,Captain America: Civil War,Jurassic World,horror film,1,Guillermo del Toro,Nope,Glass,Halloween
children's film,1,Pinocchio,Space Jam: A New Legacy,Harry Potter and the Order of the Phoenix,Harry Potter and the Chamber of Secrets,economist,1,Alexander Hamilton,Yulia Tymoshenko,Joseph P. Kennedy Sr.,Lutz Graf Schwerin von Krosigk,strategy video game,0,Venus of Galgenberg,Michael Groove,Ivan Champions,"Warhammer 40,000: Dawn of War III",cinematic fairy tale,1,Brother Bear,A Night Before Christmas,Me Too,Paddington,adventure film,1,Avatar: The Way of Water,Eternals,Johnny Depp,Doctor Strange in the Multiverse of Madness
architect,1,Farah Pahlavi,Jack Nicklaus,Vitaly Kaloyev,Rudolf Steiner,U.S. state,1,Colorado,California,Washington,Texas,sports video game,1,Tony Hawk's Pro Skater 4,AEW Fight Forever,Mario Strikers: Battle League,FIFA 23,Turks,0,Turkish,Mysterious Past,Flower Inspiration,Harry Potter 20th Anniversary: Return to Hogwarts,drummer,1,Roger Taylor,Valeria Kozlova,Whiplash,FKA twigs
sportsperson,1,athlete,coach,Gwendal Peizerat,Enzo Fernández,engineer,1,Leonid Kuchma,Viktor Yanukovych,Robert Oppenheimer,Leonid Brezhnev,crime film,1,Murder on the Orient Express,Colin Farrell,The Dark Knight,Kingsman: The Golden Circle,bass guitarist,0,Colorful Tales,Valentina Tazekenova,Claus Fischer,Alexander Developersky,BBC 100 Women,1,Bella Thorne,Sviatlana Tsikhanouskaya,Selma Blair,Michelle Yeoh
sportsperson,1,Gwendal Peizerat,motorsport marshal,athlete,Alex Shibutani,philosopher,1,Leon Trotsky,Mahatma Gandhi,Mao Zedong,Marcus Aurelius,biologist,1,Maria Vorontsova,Rudolf Virchow,Shyamala Gopalan,Carl Linnaeus,Russians,0,Lionel Logue,Twilight Saxophone,Denis Pushilin,Treasures of the Cursed Island,women's rights activist,1,Alice Schwarzer,Eva Perón,Friedrich Engels,Betty Ford
mystery film,1,Enola Holmes,Get Out,Scream 4,Murder on the Orient Express,BBC 100 Women,1,Jane Fonda,Selma Blair,Rita Moreno,Alla Pugacheva,computer scientist,1,Jack Dorsey,Sergey Brin,Alan Turing,Peter Thiel,actor,0,Operation Transparency,Jennifer Connelly,action role-playing game,Fun Adventures,animated film,1,DreamWorks Animation,Walt Disney,The Addams Family,Despicable Me 2
women's rights activist,0,Kings of Strategy,Gloria Steinem,Lee Hsien Loong,Smith,fashion designer,1,Kaia Gerber,Aldo Gucci,Rooney Mara,Heidi Klum,rapper,1,Peter Fox,John Cena,The Notorious B.I.G.,Eldzhey,biologist,1,Nikolai Vavilov,Trofim Lysenko,Jacques Cousteau,Rudolf Virchow,actor,1,Talulah Riley,Ralph Fiennes,Till Lindemann,Donald Trump
mountain,1,Mount Elbrus,Mount Vesuvius,Seven Summits,Dufourspitze,engineer,1,Mikhail Mishustin,Nikolai Patrushev,Jimmy Carter,Hu Jintao,mathematician,1,Max Born,mathematics,Isaac Newton,Thomas Edison,sports video game,0,Thompson,Battle for Freedom,racing video game,Freddie Mercury,athlete,1,Vladimir Turchinsky,Nikolai Fomenko,Jet Li,Polina Iodis
animated film,1,The Grinch,DC League of Super-Pets,Star Wars: The Clone Wars,Frozen II,television film,0,Ivan Businessovsky,2020 United States presidential election,For Your Love Only,Andrey Coderov,Internet meme,1,revenge porn,Mandela Effect,"Russian warship, go fuck yourself",Chuck Norris facts,athlete,1,Oleg Taktarov,Polina Iodis,Raymond van Barneveld,Ronda Rousey,comedy television series,1,Star Wars: The Clone Wars,Big Little Lies,Kitchen,Star Trek: Lower Decks
crime film,0,Fairy Adventures,Rainbow Waves,Raphael,The Crown,drama television series,1,The Walking Dead,House of the Dragon,Breaking Bad,The Crown,science fiction television program,1,Twin Peaks,The Book of Boba Fett,The Mandalorian,Dark,President of the United States,1,Joe Biden,Ronald Reagan,Bill Clinton,George H. W. Bush,jazz musician,1,Charlie Watts,Viggo Mortensen,Dean Martin,Barbra Streisand
Indians,1,Indigenous peoples of the Americas,Punjabi,Myanmar,Hindi,romance film,1,A Star Is Born,Asteroid City,Titanic,Top Gun,Italians,1,Michelangelo,Dante Gabriel Rossetti,Michael Imperioli,Sandro Botticelli,music genre,0,Kill Bill Volume 1,psychedelic rock,Alexandra Sculptorova,Smirnov,jazz musician,1,Woody Allen,Eric Clapton,Sergey Kuryokhin,Bhumibol Adulyadej
engineer,1,Nikolai Patrushev,Hu Jintao,Bernard Arnault,Mikhail Fridman,strategy video game,1,"Warhammer 40,000: Dawn of War III",Total War: Three Kingdoms,Total War Saga: Thrones of Britannia,Mount & Blade II: Bannerlord,architect,1,Alla Dudayeva,Michelangelo,Thomas Jefferson,Andrey Makarevich,single player video game,1,Call of Duty 4: Modern Warfare,God of War Ragnarök,Resident Evil,Call of Duty: Black Ops Cold War,biologist,0,Roses and Romance,Paul Ehrlich,Rogue One,Los Chicagos
tennis player,1,Andy Murray,Steffi Graf,Serena Williams,John McEnroe,action game,1,Ratchet & Clank: Rift Apart,Suicide Squad: Kill The Justice League,Bayonetta,Kingdom Hearts,sport film,0,The Cannonball Run,Oleksandr Turchynov,Mikhail Dunkerov,Rises of Innovations,romance film,1,After Ever Happy,Hacksaw Ridge,The Divergent Series: Insurgent,A Star Is Born,Americans,1,J. K. Simmons,Dorothy Vaughan,Native Americans in the United States,Thomas Edison
guitarist,1,Chris Martin,Adam Sandler,Viktor Tsoi,Paul Landers,tennis player,1,Steffi Graf,Roger Federer,Serena Williams,Andre Agassi,horror literature,1,Roald Dahl,Chuck Palahniuk,Max Brooks,Tabitha King,music genre,1,new wave,Neue Deutsche Härte,post-punk,Krautrock,spy film,0,Sukhita Sharma,SingStar,Tenet,Illusions in Three Dimensions
animated film,1,Star Wars: The Clone Wars,The Grinch,The Addams Family,Walt Disney Animation Studios,music video game,1,Dance Dance Revolution,Guitar Hero III: Legends of Rock,Just Dance 2021,rhythm game,romance film,1,The French Dispatch,West Side Story,Storm of Love,The Little Mermaid,athlete,1,Dave Bautista,Kevin Peter Hall,Wladimir Klitschko,Jet Li,action game,0,anime,Era of Champions,Melodic Worldviews,action-adventure game
drummer,1,Ivan Makarevich,Paul McCartney,Valeria Kozlova,Tommy Lee,city in the United States,0,Cincinnati,H. P. Lovecraft,Eternal Love,Maria Zhivopiseva,plant,1,Pimpinella anisum,evergreen plant,Amaranthaceae,perennial plant,romance film,1,A Star Is Born,Titanic,365 Days: This Day,West Side Story,plant,1,botany,Pimpinella anisum,flavonoid,seed plants
rapper,1,Takeoff,Dr. Dre,Quavo,Mark Wahlberg,Christmas film,1,The Guardians of the Galaxy Holiday Special,Eyes Wide Shut,Home Alone 2: Lost in New York,Three Nuts for Cinderella,Americans,1,White Americans,Native Americans in the United States,Chinese Americans,African Americans,television film,0,Sherlock Holmes and Dr. Watson,Bahaeddin Şakir,Contemporary Exhibition,Beyond Role,programmer,1,Jack Dorsey,Eugen Rochko,Vitalik Buterin,Julian Assange
rapper,1,J-Hope,Dr. Dre,Joaquin Phoenix,Takeoff,sportsperson,0,Funny Neighbors,Maxim Engineers,Roger Lodge,Monte Carlo,science fiction television program,1,The Book of Boba Fett,Marvel Cinematic Universe,Ahsoka,Star Trek: The Original Series,television film,1,Earwig and the Witch,"Mary Poppins, Goodbye",The Wannsee Conference,Blue Lagoon: The Awakening,biologist,1,Anne Wojcicki,Katherine Oppenheimer,Shyamala Gopalan,Rudolf Virchow
tennis player,1,Venus Williams,Andre Agassi,Maria Sharapova,George VI,President of the United States,1,Jimmy Carter,Barack Obama,2020 United States presidential election,John F. Kennedy,drama television series,0,The Walking Dead,Panda Virusovskaya,Nell Newman,Sarah Williams,landscape painter,1,Caspar David Friedrich,Frederic Edwin Church,Thomas Gainsborough,John Constable,war film,1,Das Boot,Hotsunlight,Guy Ritchie's The Covenant,Gone with the Wind
strategy video game,1,Mount & Blade II: Bannerlord,Worms,real-time strategy,X-COM,Christmas film,1,Dr. Seuss' How the Grinch Stole Christmas,Shazam!,Die Hard,The Guardians of the Galaxy Holiday Special,Germans,0,Myanmar,Magical Menagerie,Benedict XVI,Keys to Power,BBC 100 Women,1,Rita Moreno,Bella Thorne,Jane Fonda,Selma Blair,Russians,1,Rusyns,Milla Jovovich,Russian,Rus' people
rapper,1,H.P. Baxxter,Mark Wahlberg,Jamie Foxx,Machine Gun Kelly,children's film,1,Harry Potter and the Prisoner of Azkaban,Dr. Seuss' How the Grinch Stole Christmas,The NeverEnding Story,Harry Potter and the Goblet of Fire,stand up comedian,1,Benjamin Walker,Nick Kroll,Robin Williams,Jenny Slate,Christmas film,1,Batman Returns,Eyes Wide Shut,The Santa Clauses,Home Alone 3,sportsperson,0,Path to Victory,Union of Salvation,Dmytro Maksymov,Alexander Portretov
athlete,1,Gustav Schwarzenegger,Toni Schumacher,Joey Kelly,Oleg Taktarov,political scientist,1,Zbigniew Brzezinski,Dinesh D'Souza,Michael D. Higgins,Hubertus Heil,single player video game,1,God of War Ragnarök,The Last of Us Part II,Assassin's Creed Valhalla,The Secret of Monkey Island,computer scientist,1,Pavel Valeryevich Durov,Jack Dorsey,Arkady Volozh,Peter Thiel,historical film,0,Mask of Mystery,The Northman,To be on Top,Battle for Triumph
tennis player,1,Andy Murray,Maria Sharapova,Boris Becker,Alexander Zverev,sportsperson,1,Caroline Garcia,Vincent Jay,Roger Lodge,Summer McIntosh,Russians,1,Wassily Kandinsky,Vasily Chuikov,Denis Pushilin,Andrei Sakharov,cinematic fairy tale,1,The Thief of Bagdad,Three Nuts for Cinderella,Cinderella,Me Too,music genre,0,"Warhammer 40,000: Dawn of War III",Animation World,electronic dance music,Maria Zhivopiseva
mathematician,1,Boris Grebenshchikov,Leonardo da Vinci,Immanuel Kant,Carl Friedrich Gauss,Italians,1,Michael Imperioli,Agnelli family,Sandro Botticelli,Caravaggio,political scientist,1,Hannah Arendt,Sergei Khrushchev,Condoleezza Rice,Helmut Kohl,romance film,0,Tropical Rhythm,365 Days: This Day,Secret Garden Magic,Just Dance 2020,strategy video game,1,UFO: Enemy Unknown,Empire of Sin,Mount & Blade II: Bannerlord,Neighbours from Hell 2: On Vacation
animal,1,Rotaviral gastroenteritis,domesticated animal,Bilateria,semen,children's film,0,Elena Fighter,Emil i Lönneberga,Ivan Creative,new wave,animal,1,Bayeux Embroidery,Lama glama,domesticated animal,carnivore,Italians,1,Francis of Assisi,Caravaggio,Michael Imperioli,Dante Gabriel Rossetti,President of the United States,1,Ronald Reagan,Franklin Delano Roosevelt,United States Armed Forces,Bill Clinton
plant,0,Shadows of Crime,Elena Fighter,Gustav Schwarzenegger,useful plant,Italians,1,Tarcisio Bertone,Donatello,Michael Imperioli,Caravaggio,spy film,1,Kingsman: The Golden Circle,Quantum of Solace,xXx Return of Xander Cage,Mission: Impossible – Dead Reckoning Part One,multiplayer video game,1,S.T.A.L.K.E.R.: Shadow of Chernobyl,Tomb Raider,Call of Duty,God of War,philosopher,1,Benedict XVI,Aleksandr Dugin,Mao Zedong,Fyodor Dostoyevsky
war film,1,Hotsunlight,Dunkirk,Downfall,War,television film,1,Hitler: The Rise of Evil,Addams Family Reunion,Home Alone: The Holiday Heist,Harry Potter 20th Anniversary: Return to Hogwarts,crime film,1,Death on the Nile,Brother 2,The Godfather,Inventing Anna,African Americans,0,Li Huan,Will Smith,Caspar David Friedrich,Battle on the Court,multiplayer video game,1,Call of Duty: Black Ops Cold War,Call of Duty: Modern Warfare II,Need for Speed: Hot Pursuit,Call of Duty: Black Ops
spy film,1,No Time to Die,Skyfall,The World Is Not Enough,The King's Man,horror literature,1,Chuck Palahniuk,R. L. Stine,Gothic literature,Anne Rice,women's rights activist,1,Betty Ford,Alexandra Kollontai,Maria Shriver,Clara Zetkin,architect,1,Jack Nicklaus,Kanye West,Rudolf Steiner,"Prince Richard, Duke of Gloucester",programmer,0,WandaVision,Satoshi Nakamoto,Alexander Keyboardist,Beyond Role
Indians,1,Anish Kapoor,First Nations,Rekhā,Myanmar,martial arts film,0,Museum of Modern Art,Flower Inspiration,Michael Groove,Brandon Lee,philosopher,1,Leon Trotsky,Richard Harris,Mao Zedong,philosophy,plant,1,Tracheophyta,botany,Pimpinella anisum,flavonoid,tennis player,1,George VI,Serena Williams,Rafael Nadal,Alexander Zverev
mystery film,1,Don't Worry Darling,Where the Crawdads Sing,Blade Runner 2049,Angels & Demons,mountain,1,Mont Blanc,Panthera uncia,Monte Carlo,Mount Vesuvius,tennis player,0,Paul McCartney,Anna Kournikova,Emir Karadag,Battle on the Court,horror literature,1,Tabitha King,R. L. Stine,Neil Gaiman,Wolfgang Hohlbein,actor,1,Tom Holland,Winona Ryder,Ralph Fiennes,Valery Todorovsky
action film,1,Bullet Train,Avatar: The Way of Water,Marvel Cinematic Universe,Doctor Strange in the Multiverse of Madness,romance film,1,The French Dispatch,The Karate Kid,A Star Is Born,Disenchanted,strategy video game,0,Fairy Adventures,Maria Shriver,Total War: Three Kingdoms,Colorful Tales,pianist,1,Chris Cornell,Richard Wagner,Flea,John Lennon,war film,1,Captain America: The First Avenger,War,Downfall,Expend4bles
biologist,1,Rudolf Virchow,Jacques Cousteau,Dian Fossey,Trofim Lysenko,mathematician,0,Carl Friedrich Gauss,Contemporary Exhibition,Dark Horror,Mark Zuckerberg,biologist,1,Trofim Lysenko,Robert Koch,Vladimir Ivanovich Vernadsky,Maria Vorontsova,city in the United States,1,Cambridge,Anchorage,Atlanta,"Washington, D.C.",television film,1,Halloween with the New Addams Family,Home Alone 4,Hitler: The Rise of Evil,Descendants
music video game,0,XXX: State of the Union,Tales of Japan,Catherine Jones,To be on Top,drama television series,1,The Lord of the Rings: The Rings of Power,The Walking Dead,Peaky Blinders,House of the Dragon,sportsperson,1,Caroline Garcia,Summer McIntosh,Enzo Fernández,Alex Shibutani,guitarist,1,Jared Leto,Shura Bi-2,Harry Styles,Paul Landers,rapper,1,Machine Gun Kelly,Takeoff,Jamie Foxx,The Notorious B.I.G.
