answer	score	topic	URI
athlete	-0.024	sportsperson	http://www.wikidata.org/entity/Q2066131
Dmytro Maksymov	-0.045	sportsperson	http://www.wikidata.org/entity/Q16334174
Gwendal Peizerat	-0.081	sportsperson	http://www.wikidata.org/entity/Q443492
motorsport marshal	-0.091	sportsperson	http://www.wikidata.org/entity/Q975205
coach	-0.289	sportsperson	http://www.wikidata.org/entity/Q41583
sports commentator	-0.316	sportsperson	http://www.wikidata.org/entity/Q2986228
sport	-0.738	sportsperson	http://www.wikidata.org/entity/Q349
Titanic	0.850	romance film	http://www.wikidata.org/entity/Q44578
West Side Story	0.745	romance film	http://www.wikidata.org/entity/Q63643994
A Star Is Born	0.564	romance film	http://www.wikidata.org/entity/Q3286391
Gone with the Wind	0.548	romance film	http://www.wikidata.org/entity/Q2875
Brokeback Mountain	0.364	romance film	http://www.wikidata.org/entity/Q160618
After We Fell	0.239	romance film	http://www.wikidata.org/entity/Q105807015
Disenchanted	0.213	romance film	http://www.wikidata.org/entity/Q27121159
The Danish Girl	0.175	romance film	http://www.wikidata.org/entity/Q19347583
Good Will Hunting	0.150	romance film	http://www.wikidata.org/entity/Q193835
After Ever Happy	0.098	romance film	http://www.wikidata.org/entity/Q105807115
The Grand Budapest Hotel	0.053	romance film	http://www.wikidata.org/entity/Q3521099
After We Collided	0.051	romance film	http://www.wikidata.org/entity/Q66498260
Storm of Love	0.000	romance film	http://www.wikidata.org/entity/Q25128
The Little Mermaid	-0.026	romance film	http://www.wikidata.org/entity/Q24357415
The French Dispatch	-0.071	romance film	http://www.wikidata.org/entity/Q59551547
Top Gun	-0.262	romance film	http://www.wikidata.org/entity/Q110138
365 Days: This Day	-0.357	romance film	http://www.wikidata.org/entity/Q111526671
Asteroid City	-0.429	romance film	http://www.wikidata.org/entity/Q108086029
The Divergent Series: Insurgent	-0.526	romance film	http://www.wikidata.org/entity/Q16997069
The Karate Kid	-0.579	romance film	http://www.wikidata.org/entity/Q846679
Hacksaw Ridge	-0.580	romance film	http://www.wikidata.org/entity/Q21010856
The Karate Kid, Part III	-0.605	romance film	http://www.wikidata.org/entity/Q1586077
Carl Gustav Carus	0.375	landscape painter	http://www.wikidata.org/entity/Q61987
Frederic Edwin Church	0.341	landscape painter	http://www.wikidata.org/entity/Q366212
Thomas Gainsborough	0.341	landscape painter	http://www.wikidata.org/entity/Q192720
Jacob van Ruisdael	0.326	landscape painter	http://www.wikidata.org/entity/Q213612
John Constable	0.244	landscape painter	http://www.wikidata.org/entity/Q159297
J. M. W. Turner	0.208	landscape painter	http://www.wikidata.org/entity/Q159758
Victor Popkov	0.133	landscape painter	http://www.wikidata.org/entity/Q2585935
Caspar David Friedrich	0.000	landscape painter	http://www.wikidata.org/entity/Q104884
Emil Jakob Schindler	-0.048	landscape painter	http://www.wikidata.org/entity/Q670922
Fritz Mackensen	-0.091	landscape painter	http://www.wikidata.org/entity/Q448400
William Nicholson	-0.213	landscape painter	http://www.wikidata.org/entity/Q2066520
Joseph Wright of Derby	-0.279	landscape painter	http://www.wikidata.org/entity/Q214062
landscape art	-0.319	landscape painter	http://www.wikidata.org/entity/Q191163
John Martin	-0.447	landscape painter	http://www.wikidata.org/entity/Q937096
Serena Williams	0.778	tennis player	http://www.wikidata.org/entity/Q11459
Venus Williams	0.578	tennis player	http://www.wikidata.org/entity/Q11578
