	wdtEntity	category	categoryLabel	count	dbp_count
187	http://www.wikidata.org/entity/Q8128	http://www.wikidata.org/entity/Q7215613	Category:1920 Summer Olympics	4918	12
188	http://www.wikidata.org/entity/Q131062	http://www.wikidata.org/entity/Q6996964	Category:Urban planners	4855	19
189	http://www.wikidata.org/entity/Q54767	http://www.wikidata.org/entity/Q6652804	Category:Puzzle video games	4800	500
190	http://www.wikidata.org/entity/Q161652	http://www.wikidata.org/entity/Q6994491	Category:Japanese people	4783	43
191	http://www.wikidata.org/entity/Q15976341	http://www.wikidata.org/entity/Q6461203	Category:Slavists	4365	178
192	http://www.wikidata.org/entity/Q191356	http://www.wikidata.org/entity/Q7087719	Category:Icelandic people	4316	33
194	http://www.wikidata.org/entity/Q13416354	http://www.wikidata.org/entity/Q9022237	Category:Mineralogists	4300	50
193	http://www.wikidata.org/entity/Q12377274	http://www.wikidata.org/entity/Q7217501	Category:Trumpeters	4300	18
195	http://www.wikidata.org/entity/Q846570	http://www.wikidata.org/entity/Q3919762	Category:American people	4221	43
196	http://www.wikidata.org/entity/Q111734	http://www.wikidata.org/entity/Q8445721	Category:Fellow Members of the IEEE	4138	500
197	http://www.wikidata.org/entity/Q133163	http://www.wikidata.org/entity/Q6483670	Category:Percussion instruments	4107	12
198	http://www.wikidata.org/entity/Q4047513	http://www.wikidata.org/entity/Q5378152	Category:Members of the Knesset	3997	11
199	http://www.wikidata.org/entity/Q2508462	http://www.wikidata.org/entity/Q8380722	Category:Diseases of oral cavity, salivary glands and jaws	3995	26
200	http://www.wikidata.org/entity/Q27988727	http://www.wikidata.org/entity/Q8445869	Category:Fellows of the British Academy	3990	500
201	http://www.wikidata.org/entity/Q42406	http://www.wikidata.org/entity/Q6489138	Category:English people	3987	48
202	http://www.wikidata.org/entity/Q19502208	http://www.wikidata.org/entity/Q6926055	Category:Films by geographic setting	3982	19
203	http://www.wikidata.org/entity/Q84072	http://www.wikidata.org/entity/Q7031845	Category:Turkish people	3978	33
204	http://www.wikidata.org/entity/Q92026	http://www.wikidata.org/entity/Q7131178	Category:Castles in Japan	3977	16
205	http://www.wikidata.org/entity/Q860750	http://www.wikidata.org/entity/Q6153510	Category:Racing video games	3974	500
206	http://www.wikidata.org/entity/Q1052281	http://www.wikidata.org/entity/Q8863767	Category:Transgender women	3951	275
207	http://www.wikidata.org/entity/Q13219447	http://www.wikidata.org/entity/Q8800527	Category:Sports journalists	3948	54
208	http://www.wikidata.org/entity/Q59920703	http://www.wikidata.org/entity/Q7842971	Category:EPs by artist	3904	500
209	http://www.wikidata.org/entity/Q6122670	http://www.wikidata.org/entity/Q7485322	Category:New Zealand Māori people	3884	66
210	http://www.wikidata.org/entity/Q3427922	http://www.wikidata.org/entity/Q8658573	Category:Restaurateurs	3880	35
211	http://www.wikidata.org/entity/Q20748682	http://www.wikidata.org/entity/Q8393551	Category:Aldermen in the Netherlands	3867	3
212	http://www.wikidata.org/entity/Q732852	http://www.wikidata.org/entity/Q11721495	Category:Progressive Party (Brazil) politicians	3733	0
213	http://www.wikidata.org/entity/Q19914123	http://www.wikidata.org/entity/Q8199804	Category:Japanese-language surnames	3690	500
214	http://www.wikidata.org/entity/Q18707052	http://www.wikidata.org/entity/Q8552497	Category:Iowa state senators	3634	51
215	http://www.wikidata.org/entity/Q17320547	http://www.wikidata.org/entity/Q9023661	Category:Members of the Federal Assembly of Czechoslovakia	3624	11
216	http://www.wikidata.org/entity/Q13424456	http://www.wikidata.org/entity/Q7211099	Category:Hymnwriters	3616	26
217	http://www.wikidata.org/entity/Q12119633	http://www.wikidata.org/entity/Q7773647	Category:Immunologists	3482	20
218	http://www.wikidata.org/entity/Q584301	http://www.wikidata.org/entity/Q8292522	Category:Bassists	3464	0
219	http://www.wikidata.org/entity/Q773717	http://www.wikidata.org/entity/Q8680298	Category:Nippon Columbia artists	3402	67
220	http://www.wikidata.org/entity/Q6168364	http://www.wikidata.org/entity/Q6434164	Category:Jazz guitarists	3397	37
221	http://www.wikidata.org/entity/Q2815948	http://www.wikidata.org/entity/Q6878509	Category:Landscape architects	3393	40
