Item1,Item2,Item3,Item4,BestItem,WorstItem
Брюс Ли,Ричард Харрис,Иоганн Вольфганг фон Гёте,Мао Цзэдун,Иоганн Вольфганг фон Гёте,Брюс Ли
Фёдор Михайлович Достоевский,философия,Александр Гельевич Дугин,Ричард Харрис,Александр Гельевич Дугин,Ричард Харрис
Брюс Ли,Ричард Харрис,Иоганн Вольфганг фон Гёте,Мао Цзэдун,Иоганн Вольфганг фон Гёте,Брюс Ли
Фёдор Михайлович Достоевский,философия,Александр Гельевич Дугин,Ричард Харрис,философия,Фёдор Михайлович Достоевский
Фёдор Михайлович Достоевский,философия,Александр Гельевич Дугин,Ричард Харрис,Фёдор Михайлович Достоевский,философия
Брюс Ли,Ричард Харрис,Иоганн Вольфганг фон Гёте,Мао Цзэдун,Брюс Ли,Ричард Харрис
Брюс Ли,Ричард Харрис,Иоганн Вольфганг фон Гёте,Мао Цзэдун,Мао Цзэдун,Брюс Ли
Лев Николаевич Толстой,Александр Гельевич Дугин,Томас Джефферсон,Марк Аврелий,Томас Джефферсон,Александр Гельевич Дугин
Лев Николаевич Толстой,Александр Гельевич Дугин,Томас Джефферсон,Марк Аврелий,Томас Джефферсон,Лев Николаевич Толстой
Раиса Максимовна Горбачёва,Фёдор Михайлович Достоевский,Александр Гельевич Дугин,Карл Маркс,Карл Маркс,Раиса Максимовна Горбачёва
Раиса Максимовна Горбачёва,Фёдор Михайлович Достоевский,Александр Гельевич Дугин,Карл Маркс,Александр Гельевич Дугин,Раиса Максимовна Горбачёва
Раиса Максимовна Горбачёва,Фёдор Михайлович Достоевский,Александр Гельевич Дугин,Карл Маркс,Фёдор Михайлович Достоевский,Александр Гельевич Дугин
Брюс Ли,философия,Александр Гельевич Дугин,Александр Гамильтон,Александр Гамильтон,Брюс Ли
Раиса Максимовна Горбачёва,Фёдор Михайлович Достоевский,Александр Гельевич Дугин,Карл Маркс,Александр Гельевич Дугин,Раиса Максимовна Горбачёва
Брюс Ли,философия,Александр Гельевич Дугин,Александр Гамильтон,Александр Гамильтон,Брюс Ли
Брюс Ли,философия,Александр Гельевич Дугин,Александр Гамильтон,Александр Гельевич Дугин,философия
Брюс Ли,философия,Александр Гельевич Дугин,Александр Гамильтон,Александр Гельевич Дугин,философия
Бенедикт XVI,Александр Гамильтон,Махатма Ганди,Иоанн Павел II,Махатма Ганди,Александр Гамильтон
Бенедикт XVI,Александр Гамильтон,Махатма Ганди,Иоанн Павел II,Махатма Ганди,Александр Гамильтон
Бенедикт XVI,Александр Гамильтон,Махатма Ганди,Иоанн Павел II,Бенедикт XVI,Махатма Ганди
Бенедикт XVI,Александр Гамильтон,Махатма Ганди,Иоанн Павел II,Бенедикт XVI,Александр Гамильтон
Александр Гельевич Дугин,Александр Гамильтон,Иоганн Вольфганг фон Гёте,Лев Николаевич Толстой,Иоганн Вольфганг фон Гёте,Александр Гельевич Дугин
Бенедикт XVI,Александр Гамильтон,Махатма Ганди,Иоанн Павел II,Махатма Ганди,Бенедикт XVI
Александр Гельевич Дугин,Александр Гамильтон,Иоганн Вольфганг фон Гёте,Лев Николаевич Толстой,Александр Гельевич Дугин,Иоганн Вольфганг фон Гёте
Ричард Харрис,Фёдор Михайлович Достоевский,Брюс Ли,Карл Маркс,Карл Маркс,Брюс Ли
Александр Гельевич Дугин,Александр Гамильтон,Иоганн Вольфганг фон Гёте,Лев Николаевич Толстой,Александр Гельевич Дугин,Александр Гамильтон
Александр Гельевич Дугин,Александр Гамильтон,Иоганн Вольфганг фон Гёте,Лев Николаевич Толстой,Лев Николаевич Толстой,Александр Гельевич Дугин
Ричард Харрис,Фёдор Михайлович Достоевский,Брюс Ли,Карл Маркс,Карл Маркс,Ричард Харрис
Ричард Харрис,Фёдор Михайлович Достоевский,Брюс Ли,Карл Маркс,Карл Маркс,Ричард Харрис
