Item1,Item2,Item3,Item4,BestItem,WorstItem
Death Stranding,Bayonetta,S.T.A.L.K.E.R. 2: Сердце Чернобыля,Dota 2,Dota 2,Death Stranding
Death Stranding,Bayonetta,S.T.A.L.K.E.R. 2: Сердце Чернобыля,Dota 2,S.T.A.L.K.E.R. 2: Сердце Чернобыля,Death Stranding
Death Stranding,Bayonetta,S.T.A.L.K.E.R. 2: Сердце Чернобыля,Dota 2,Death Stranding,Bayonetta
Ratchet & Clank: Сквозь миры,S.T.A.L.K.E.R. 2: Сердце Чернобыля,Return to Castle Wolfenstein,The Last of Us Part II,S.T.A.L.K.E.R. 2: Сердце Чернобыля,The Last of Us Part II
Ratchet & Clank: Сквозь миры,S.T.A.L.K.E.R. 2: Сердце Чернобыля,Return to Castle Wolfenstein,The Last of Us Part II,S.T.A.L.K.E.R. 2: Сердце Чернобыля,The Last of Us Part II
Ratchet & Clank: Сквозь миры,S.T.A.L.K.E.R. 2: Сердце Чернобыля,Return to Castle Wolfenstein,The Last of Us Part II,S.T.A.L.K.E.R. 2: Сердце Чернобыля,The Last of Us Part II
Resident Evil Village,Return to Castle Wolfenstein,S.T.A.L.K.E.R. 2: Сердце Чернобыля,Suicide Squad: Kill the Justice League,Return to Castle Wolfenstein,Resident Evil Village
Resident Evil Village,Return to Castle Wolfenstein,S.T.A.L.K.E.R. 2: Сердце Чернобыля,Suicide Squad: Kill the Justice League,Suicide Squad: Kill the Justice League,S.T.A.L.K.E.R. 2: Сердце Чернобыля
Resident Evil Village,Return to Castle Wolfenstein,S.T.A.L.K.E.R. 2: Сердце Чернобыля,Suicide Squad: Kill the Justice League,Resident Evil Village,Suicide Squad: Kill the Justice League
Resident Evil Village,Return to Castle Wolfenstein,S.T.A.L.K.E.R. 2: Сердце Чернобыля,Suicide Squad: Kill the Justice League,S.T.A.L.K.E.R. 2: Сердце Чернобыля,Suicide Squad: Kill the Justice League
action/RPG,симулятор выживания,Counter-Strike: Global Offensive,The Last of Us Part II,action/RPG,симулятор выживания
action/RPG,симулятор выживания,Counter-Strike: Global Offensive,The Last of Us Part II,action/RPG,The Last of Us Part II
action/RPG,симулятор выживания,Counter-Strike: Global Offensive,The Last of Us Part II,The Last of Us Part II,симулятор выживания
action/RPG,симулятор выживания,Counter-Strike: Global Offensive,The Last of Us Part II,action/RPG,симулятор выживания
action/RPG,симулятор выживания,Counter-Strike: Global Offensive,The Last of Us Part II,action/RPG,Counter-Strike: Global Offensive
Return to Castle Wolfenstein,Bayonetta,Doom 3,Ratchet & Clank: Сквозь миры,Doom 3,Bayonetta
Return to Castle Wolfenstein,Bayonetta,Doom 3,Ratchet & Clank: Сквозь миры,Return to Castle Wolfenstein,Doom 3
Doom 3,The Last of Us Part II,God of War: Chains of Olympus,Resident Evil Village,The Last of Us Part II,God of War: Chains of Olympus
Doom 3,The Last of Us Part II,God of War: Chains of Olympus,Resident Evil Village,The Last of Us Part II,God of War: Chains of Olympus
Doom 3,The Last of Us Part II,God of War: Chains of Olympus,Resident Evil Village,God of War: Chains of Olympus,The Last of Us Part II
Doom 3,The Last of Us Part II,God of War: Chains of Olympus,Resident Evil Village,The Last of Us Part II,Resident Evil Village
Doom 3,The Last of Us Part II,God of War: Chains of Olympus,Resident Evil Village,Doom 3,The Last of Us Part II
The Last of Us Part II,God of War: Chains of Olympus,Metal Gear Rising: Revengeance,Death Stranding,The Last of Us Part II,Death Stranding
Ratchet & Clank: Сквозь миры,Suicide Squad: Kill the Justice League,Bayonetta,Kingdom Hearts,Ratchet & Clank: Сквозь миры,Bayonetta
Ratchet & Clank: Сквозь миры,Suicide Squad: Kill the Justice League,Bayonetta,Kingdom Hearts,Suicide Squad: Kill the Justice League,Kingdom Hearts
The Last of Us Part II,God of War: Chains of Olympus,Metal Gear Rising: Revengeance,Death Stranding,The Last of Us Part II,Death Stranding
Ratchet & Clank: Сквозь миры,Suicide Squad: Kill the Justice League,Bayonetta,Kingdom Hearts,Ratchet & Clank: Сквозь миры,Bayonetta
The Last of Us Part II,God of War: Chains of Olympus,Metal Gear Rising: Revengeance,Death Stranding,God of War: Chains of Olympus,The Last of Us Part II
Ratchet & Clank: Сквозь миры,Suicide Squad: Kill the Justice League,Bayonetta,Kingdom Hearts,Kingdom Hearts,Bayonetta
Resident Evil Village,action-adventure,S.T.A.L.K.E.R. 2: Сердце Чернобыля,симулятор выживания,action-adventure,Resident Evil Village
The Last of Us Part II,God of War: Chains of Olympus,Metal Gear Rising: Revengeance,Death Stranding,God of War: Chains of Olympus,Metal Gear Rising: Revengeance
Resident Evil Village,action-adventure,S.T.A.L.K.E.R. 2: Сердце Чернобыля,симулятор выживания,action-adventure,симулятор выживания
Resident Evil Village,action-adventure,S.T.A.L.K.E.R. 2: Сердце Чернобыля,симулятор выживания,action-adventure,симулятор выживания
The Last of Us Part II,God of War: Chains of Olympus,Metal Gear Rising: Revengeance,Death Stranding,The Last of Us Part II,Metal Gear Rising: Revengeance
Ratchet & Clank: Сквозь миры,Suicide Squad: Kill the Justice League,Bayonetta,Kingdom Hearts,Ratchet & Clank: Сквозь миры,Bayonetta
Resident Evil Village,action-adventure,S.T.A.L.K.E.R. 2: Сердце Чернобыля,симулятор выживания,action-adventure,S.T.A.L.K.E.R. 2: Сердце Чернобыля
Resident Evil Village,action-adventure,S.T.A.L.K.E.R. 2: Сердце Чернобыля,симулятор выживания,action-adventure,Resident Evil Village
Death Stranding,Metal Gear Rising: Revengeance,симулятор выживания,Dota 2,симулятор выживания,Death Stranding
Death Stranding,Metal Gear Rising: Revengeance,симулятор выживания,Dota 2,симулятор выживания,Dota 2
Death Stranding,Metal Gear Rising: Revengeance,симулятор выживания,Dota 2,симулятор выживания,Metal Gear Rising: Revengeance
Death Stranding,Metal Gear Rising: Revengeance,симулятор выживания,Dota 2,Death Stranding,Dota 2
Bayonetta,симулятор выживания,Dota 2,Kingdom Hearts,Dota 2,Bayonetta
Bayonetta,симулятор выживания,Dota 2,Kingdom Hearts,Dota 2,Kingdom Hearts
Bayonetta,симулятор выживания,Dota 2,Kingdom Hearts,симулятор выживания,Kingdom Hearts
Bayonetta,симулятор выживания,Dota 2,Kingdom Hearts,Dota 2,симулятор выживания
Bayonetta,симулятор выживания,Dota 2,Kingdom Hearts,Bayonetta,симулятор выживания
Bayonetta,симулятор выживания,Dota 2,Kingdom Hearts,Dota 2,Bayonetta
Counter-Strike: Global Offensive,Bayonetta,God of War: Chains of Olympus,Ratchet & Clank: Сквозь миры,Bayonetta,Counter-Strike: Global Offensive
Counter-Strike: Global Offensive,Bayonetta,God of War: Chains of Olympus,Ratchet & Clank: Сквозь миры,Bayonetta,Ratchet & Clank: Сквозь миры
Counter-Strike: Global Offensive,Bayonetta,God of War: Chains of Olympus,Ratchet & Clank: Сквозь миры,Counter-Strike: Global Offensive,Bayonetta
Counter-Strike: Global Offensive,Kingdom Hearts,Metal Gear Rising: Revengeance,Death Stranding,Metal Gear Rising: Revengeance,Kingdom Hearts
Counter-Strike: Global Offensive,Kingdom Hearts,Metal Gear Rising: Revengeance,Death Stranding,Counter-Strike: Global Offensive,Death Stranding
Counter-Strike: Global Offensive,Bayonetta,God of War: Chains of Olympus,Ratchet & Clank: Сквозь миры,Bayonetta,Ratchet & Clank: Сквозь миры
Counter-Strike: Global Offensive,Kingdom Hearts,Metal Gear Rising: Revengeance,Death Stranding,Metal Gear Rising: Revengeance,Kingdom Hearts
Counter-Strike: Global Offensive,Kingdom Hearts,Metal Gear Rising: Revengeance,Death Stranding,Death Stranding,Counter-Strike: Global Offensive
Doom 3,Return to Castle Wolfenstein,Suicide Squad: Kill the Justice League,Resident Evil Village,Resident Evil Village,Doom 3
Death Stranding,Bayonetta,S.T.A.L.K.E.R. 2: Сердце Чернобыля,Dota 2,Dota 2,S.T.A.L.K.E.R. 2: Сердце Чернобыля
Ratchet & Clank: Сквозь миры,S.T.A.L.K.E.R. 2: Сердце Чернобыля,Return to Castle Wolfenstein,The Last of Us Part II,S.T.A.L.K.E.R. 2: Сердце Чернобыля,The Last of Us Part II
Ratchet & Clank: Сквозь миры,S.T.A.L.K.E.R. 2: Сердце Чернобыля,Return to Castle Wolfenstein,The Last of Us Part II,S.T.A.L.K.E.R. 2: Сердце Чернобыля,Return to Castle Wolfenstein
Resident Evil Village,Return to Castle Wolfenstein,S.T.A.L.K.E.R. 2: Сердце Чернобыля,Suicide Squad: Kill the Justice League,S.T.A.L.K.E.R. 2: Сердце Чернобыля,Return to Castle Wolfenstein
Resident Evil Village,Return to Castle Wolfenstein,S.T.A.L.K.E.R. 2: Сердце Чернобыля,Suicide Squad: Kill the Justice League,S.T.A.L.K.E.R. 2: Сердце Чернобыля,Resident Evil Village
Return to Castle Wolfenstein,Bayonetta,Doom 3,Ratchet & Clank: Сквозь миры,Doom 3,Ratchet & Clank: Сквозь миры
Return to Castle Wolfenstein,Bayonetta,Doom 3,Ratchet & Clank: Сквозь миры,Bayonetta,Return to Castle Wolfenstein
Return to Castle Wolfenstein,Bayonetta,Doom 3,Ratchet & Clank: Сквозь миры,Doom 3,Bayonetta
Doom 3,The Last of Us Part II,God of War: Chains of Olympus,Resident Evil Village,The Last of Us Part II,Resident Evil Village
The Last of Us Part II,God of War: Chains of Olympus,Metal Gear Rising: Revengeance,Death Stranding,Death Stranding,God of War: Chains of Olympus
